Timestamp,Distance,Signal_Strength
2024-10-17 09:30:03,101,2088
2024-10-17 09:30:03,101,2135
2024-10-17 09:30:04,101,2135
2024-10-17 09:40:02,101,2075
2024-10-17 09:40:02,101,2123
2024-10-17 09:40:03,101,2121
2024-10-17 09:50:02,101,2063
2024-10-17 09:50:02,101,2111
2024-10-17 09:50:03,101,2109
2024-10-17 10:00:02,100,2058
2024-10-17 10:00:02,100,2104
2024-10-17 10:00:03,100,2104
2024-10-17 10:10:02,100,2044
2024-10-17 10:10:02,100,2095
2024-10-17 10:10:03,100,2094
2024-10-17 10:20:02,100,2042
2024-10-17 10:20:03,100,2090
2024-10-17 10:20:03,100,2090
2024-10-17 10:30:02,98,2039
2024-10-17 10:30:03,98,2089
2024-10-17 10:30:03,98,2087
2024-10-17 10:40:02,104,2029
2024-10-17 10:40:03,104,2076
2024-10-17 10:40:03,104,2077
2024-10-17 10:50:02,99,2024
2024-10-17 10:50:03,99,2073
2024-10-17 10:50:03,99,2074
2024-10-17 11:00:03,101,2013
2024-10-17 11:00:03,101,2063
2024-10-17 11:00:04,101,2059
2024-10-17 11:10:02,98,2011
2024-10-17 11:10:02,98,2044
2024-10-17 11:10:03,98,2060
2024-10-17 11:20:02,103,1998
2024-10-17 11:20:02,103,2045
2024-10-17 11:20:03,103,2040
2024-10-17 11:30:02,97,1992
2024-10-17 11:30:02,97,2039
2024-10-17 11:30:03,97,2040
2024-10-17 11:40:02,97,1980
2024-10-17 11:40:02,97,2039
2024-10-17 11:40:03,97,2028
2024-10-17 11:50:02,100,1975
2024-10-17 11:50:03,100,2016
2024-10-17 11:50:03,100,2024
2024-10-17 12:00:02,100,1963
2024-10-17 12:00:03,100,2011
2024-10-17 12:00:03,100,2011
2024-10-17 12:10:02,99,1962
2024-10-17 12:10:03,99,2008
2024-10-17 12:10:03,99,2008
2024-10-17 12:20:03,100,1948
2024-10-17 12:20:03,100,1992
2024-10-17 12:20:03,100,1997
2024-10-17 12:30:03,98,1945
2024-10-17 12:30:03,98,1990
2024-10-17 12:30:04,98,1992
2024-10-17 12:40:02,104,1928
2024-10-17 12:40:02,104,1967
2024-10-17 12:40:03,104,1982
2024-10-17 12:50:02,100,1917
2024-10-17 12:50:02,100,1963
2024-10-17 12:50:03,100,1964
2024-10-17 13:00:02,100,1902
2024-10-17 13:00:02,100,1960
2024-10-17 13:00:03,100,1961
2024-10-17 13:10:02,98,1903
2024-10-17 13:10:03,98,1949
2024-10-17 13:10:03,98,1949
2024-10-17 13:20:02,102,1899
2024-10-17 13:20:03,102,1945
2024-10-17 13:20:03,102,1945
2024-10-17 13:30:02,101,1886
2024-10-17 13:30:03,101,1934
2024-10-17 13:30:03,101,1936
2024-10-17 13:40:02,99,1884
2024-10-17 13:40:03,99,1929
2024-10-17 13:40:03,99,1930
2024-10-17 13:50:02,95,1880
2024-10-17 13:50:03,95,1918
2024-10-17 13:50:03,95,1927
2024-10-17 14:00:03,103,1869
2024-10-17 14:00:03,103,1917
2024-10-17 14:00:04,103,1913
2024-10-17 14:10:02,102,1866
2024-10-17 14:10:02,102,1914
2024-10-17 14:10:03,102,1914
2024-10-17 14:20:02,98,1855
2024-10-17 14:20:02,98,1902
2024-10-17 14:20:03,98,1902
2024-10-17 14:30:02,101,1851
2024-10-17 14:30:02,101,1898
2024-10-17 14:30:03,101,1897
2024-10-17 14:40:02,100,1839
2024-10-17 14:40:03,100,1885
2024-10-17 14:40:03,100,1887
2024-10-17 14:50:02,100,1834
2024-10-17 14:50:03,100,1879
2024-10-17 14:50:03,100,1878
2024-10-17 15:00:02,101,1823
2024-10-17 15:00:03,101,1852
2024-10-17 15:00:03,101,1883
2024-10-17 15:10:02,102,1818
2024-10-17 15:10:03,102,1864
2024-10-17 15:10:03,102,1866
2024-10-17 15:20:03,101,1806
2024-10-17 15:20:03,101,1853
2024-10-17 15:20:04,101,1863
2024-10-17 15:30:02,97,1800
2024-10-17 15:30:02,97,1838
2024-10-17 15:30:03,97,1847
2024-10-17 15:40:02,96,1789
2024-10-17 15:40:02,96,1834
2024-10-17 15:40:03,96,1835
2024-10-17 15:50:02,100,1775
2024-10-17 15:50:02,100,1820
2024-10-17 15:50:03,100,1818
2024-10-17 16:00:02,97,1768
2024-10-17 16:00:02,97,1816
2024-10-17 16:00:03,97,1806
2024-10-17 16:10:02,99,1758
2024-10-17 16:10:03,99,1803
2024-10-17 16:10:03,99,1804
2024-10-17 16:20:02,98,1751
2024-10-17 16:20:03,98,1788
2024-10-17 16:20:03,98,1790
2024-10-17 16:30:02,96,1738
2024-10-17 16:30:03,96,1773
2024-10-17 16:30:03,96,1774
2024-10-17 16:40:02,97,1724
2024-10-17 16:40:03,97,1769
2024-10-17 16:40:03,97,1769
2024-10-17 16:50:03,98,1711
2024-10-17 16:50:03,98,1754
2024-10-17 16:50:04,98,1753
2024-10-17 17:00:02,101,1706
2024-10-17 17:00:02,101,1741
2024-10-17 17:00:03,101,1744
2024-10-17 17:10:02,98,1693
2024-10-17 17:10:02,98,1737
2024-10-17 17:10:03,98,1724
2024-10-17 17:20:02,95,1687
2024-10-17 17:20:02,95,1722
2024-10-17 17:20:03,95,1725
2024-10-17 17:30:02,101,1673
2024-10-17 17:30:03,101,1711
2024-10-17 17:30:03,101,1712
2024-10-17 17:40:02,101,1673
2024-10-17 17:40:03,101,1708
2024-10-17 17:40:03,101,1709
2024-10-17 17:50:02,99,1659
2024-10-17 17:50:03,99,1694
2024-10-17 17:50:03,99,1703
2024-10-17 18:00:02,99,1655
2024-10-17 18:00:03,99,1691
2024-10-17 18:00:03,99,1692
2024-10-17 18:10:03,99,1643
2024-10-17 18:10:03,99,1676
2024-10-17 18:10:03,99,1677
2024-10-17 18:20:02,97,1629
2024-10-17 18:20:02,97,1672
2024-10-17 18:20:03,97,1664
2024-10-17 18:30:02,98,1616
2024-10-17 18:30:02,98,1657
2024-10-17 18:30:03,98,1657
2024-10-17 18:40:02,101,1613
2024-10-17 18:40:02,101,1654
2024-10-17 18:40:03,101,1642
2024-10-17 18:50:02,97,1608
2024-10-17 18:50:02,97,1641
2024-10-17 18:50:03,97,1643
2024-10-17 19:00:02,102,1597
2024-10-17 19:00:03,102,1624
2024-10-17 19:00:03,102,1584
2024-10-17 19:10:02,98,2382
2024-10-17 19:10:03,98,2463
2024-10-17 19:10:03,98,2455
2024-10-17 19:20:02,102,2590
2024-10-17 19:20:03,102,2679
2024-10-17 19:20:03,102,2683
2024-10-17 19:30:02,99,2745
2024-10-17 19:30:03,99,2829
2024-10-17 19:30:03,99,2839
2024-10-17 19:40:03,96,2809
2024-10-17 19:40:03,96,2893
2024-10-17 19:40:04,96,2906
2024-10-17 19:50:02,100,2846
2024-10-17 19:50:02,100,2911
2024-10-17 19:50:03,100,2940
2024-10-17 20:00:02,97,2872
2024-10-17 20:00:02,97,2956
2024-10-17 20:00:03,97,2967
2024-10-17 20:10:02,95,2889
2024-10-17 20:10:02,95,2973
2024-10-17 20:10:03,95,2983
2024-10-17 20:20:02,97,2904
2024-10-17 20:20:03,97,2990
2024-10-17 20:20:03,97,3002
2024-10-17 20:30:02,100,2910
2024-10-17 20:30:03,100,3004
2024-10-17 20:30:03,100,3006
2024-10-17 20:40:02,99,2921
2024-10-17 20:40:03,99,3005
2024-10-17 20:40:03,99,3006
2024-10-17 20:50:02,97,2894
2024-10-17 20:50:03,97,3004
2024-10-17 20:50:03,97,3000
2024-10-17 21:00:03,98,2919
2024-10-17 21:00:03,98,3016
2024-10-17 21:00:04,98,3006
2024-10-17 21:10:02,98,2921
2024-10-17 21:10:02,98,3002
2024-10-17 21:10:03,98,3005
2024-10-17 21:20:02,102,2920
2024-10-17 21:20:02,102,3004
2024-10-17 21:20:03,102,3006
2024-10-17 21:30:02,96,2920
2024-10-17 21:30:02,96,3004
2024-10-17 21:30:03,96,3003
2024-10-17 21:40:02,96,2906
2024-10-17 21:40:02,96,2999
2024-10-17 21:40:03,96,3001
2024-10-17 21:50:02,102,2909
2024-10-17 21:50:03,102,3000
2024-10-17 21:50:03,102,3001
2024-10-17 22:00:02,97,2906
2024-10-17 22:00:03,97,2998
2024-10-17 22:00:03,97,3000
2024-10-17 22:10:02,96,2905
2024-10-17 22:10:03,96,2989
2024-10-17 22:10:03,96,2990
2024-10-17 22:20:02,99,2905
2024-10-17 22:20:03,99,2990
2024-10-17 22:20:03,99,3004
2024-10-17 22:30:03,100,2904
2024-10-17 22:30:03,100,2988
2024-10-17 22:30:04,100,2990
